trending_date,category,count
2018-01-05,Shows,1
2018-01-05,Sports,22
2018-01-06,Autos & Vehicles,1
2018-01-06,Comedy,17
2018-01-06,Education,2
2018-01-06,Entertainment,43
2018-01-06,Film & Animation,6
2018-01-06,Gaming,5
2018-01-06,Howto & Style,13
2018-01-06,Music,24
2018-01-06,News & Politics,26
2018-01-06,People & Blogs,30
2018-01-06,Pets & Animals,1
2018-01-06,Science & Technology,6
2018-01-06,Sports,25
2018-01-07,Comedy,22
2018-01-07,Education,3
2018-01-07,Entertainment,49
2018-01-07,Film & Animation,12
2018-01-07,Gaming,8
2018-01-07,Howto & Style,12
2018-01-07,Music,18
2018-01-07,News & Politics,23
2018-01-07,People & Blogs,29
2018-01-07,Science & Technology,6
2018-01-07,Sports,16
2018-01-07,Travel & Events,1
2018-01-08,Autos & Vehicles,3
2018-01-08,Comedy,19
2018-01-08,Education,5
2018-01-08,Entertainment,47
2018-01-08,Film & Animation,11
2018-01-08,Gaming,7
2018-01-08,Howto & Style,12
2018-01-08,Music,19
2018-01-08,News & Politics,19
2018-01-08,People & Blogs,22
2018-01-08,Science & Technology,3
2018-01-08,Sports,29
2018-01-08,Travel & Events,3
2018-01-09,Autos & Vehicles,4
2018-01-09,Comedy,24
2018-01-09,Education,2
2018-01-09,Entertainment,57
2018-01-09,Film & Animation,8
2018-01-09,Gaming,6
2018-01-09,Howto & Style,10
2018-01-09,Music,10
2018-01-09,News & Politics,18
2018-01-09,People & Blogs,22
2018-01-09,Sports,34
2018-01-09,Travel & Events,3
2018-01-12,Autos & Vehicles,6
2018-01-12,Comedy,27
2018-01-12,Education,5
2018-01-12,Entertainment,39
2018-01-12,Film & Animation,9
2018-01-12,Gaming,8
2018-01-12,Howto & Style,12
2018-01-12,Music,20
2018-01-12,News & Politics,17
2018-01-12,People & Blogs,28
2018-01-12,Pets & Animals,1
2018-01-12,Science & Technology,7
2018-01-12,Shows,1
2018-01-12,Sports,19
2018-01-12,Travel & Events,1
2018-01-13,Comedy,26
2018-01-13,Education,3
2018-01-13,Entertainment,43
2018-01-13,Film & Animation,13
2018-01-13,Gaming,7
2018-01-13,Howto & Style,13
2018-01-13,Music,26
2018-01-13,News & Politics,19
2018-01-13,People & Blogs,23
2018-01-13,Pets & Animals,1
2018-01-13,Science & Technology,4
2018-01-13,Shows,1
2018-01-13,Sports,18
2018-01-13,Travel & Events,1
2018-01-14,Autos & Vehicles,1
2018-01-14,Comedy,22
2018-01-14,Education,1
2018-01-14,Entertainment,51
2018-01-14,Film & Animation,15
2018-01-14,Gaming,6
2018-01-14,Howto & Style,12
2018-01-14,Music,23
2018-01-14,News & Politics,17
2018-01-14,People & Blogs,25
2018-01-14,Science & Technology,3
2018-01-14,Sports,23
2018-01-15,Autos & Vehicles,2
2018-01-15,Comedy,22
2018-01-15,Education,8
2018-01-15,Entertainment,40
2018-01-15,Film & Animation,10
2018-01-15,Gaming,8
2018-01-15,Howto & Style,13
2018-01-15,Music,18
2018-01-15,News & Politics,16
2018-01-15,People & Blogs,25
2018-01-15,Science & Technology,1
2018-01-15,Sports,36
2018-01-15,Travel & Events,1
2018-01-16,Autos & Vehicles,5
2018-01-16,Comedy,21
2018-01-16,Education,5
2018-01-16,Entertainment,35
2018-01-16,Film & Animation,12
2018-01-16,Gaming,11
2018-01-16,Howto & Style,8
2018-01-16,Music,19
2018-01-16,News & Politics,22
2018-01-16,People & Blogs,20
2018-01-16,Science & Technology,1
2018-01-16,Sports,40
2018-01-16,Travel & Events,1
2018-01-17,Autos & Vehicles,2
2018-01-17,Comedy,24
2018-01-17,Education,4
2018-01-17,Entertainment,41
2018-01-17,Film & Animation,13
2018-01-17,Gaming,8
2018-01-17,Howto & Style,11
2018-01-17,Music,10
2018-01-17,News & Politics,23
2018-01-17,People & Blogs,34
2018-01-17,Pets & Animals,1
2018-01-17,Science & Technology,2
2018-01-17,Shows,1
2018-01-17,Sports,24
2018-01-17,Travel & Events,1
2018-01-18,Autos & Vehicles,3
2018-01-18,Comedy,28
2018-01-18,Education,2
2018-01-18,Entertainment,40
2018-01-18,Film & Animation,10
2018-01-18,Gaming,10
2018-01-18,Howto & Style,15
2018-01-18,Music,13
2018-01-18,News & Politics,18
2018-01-18,People & Blogs,34
2018-01-18,Science & Technology,6
2018-01-18,Shows,1
2018-01-18,Sports,18
2018-01-18,Travel & Events,2
2018-01-19,Autos & Vehicles,3
2018-01-19,Comedy,21
2018-01-19,Education,3
2018-01-19,Entertainment,39
2018-01-19,Film & Animation,7
2018-01-19,Gaming,12
2018-01-19,Howto & Style,13
2018-01-19,Music,22
2018-01-19,News & Politics,21
2018-01-19,People & Blogs,34
2018-01-19,Pets & Animals,1
2018-01-19,Science & Technology,2
2018-01-19,Shows,1
2018-01-19,Sports,20
2018-01-20,Comedy,26
2018-01-20,Education,3
2018-01-20,Entertainment,41
2018-01-20,Film & Animation,8
2018-01-20,Gaming,16
2018-01-20,Howto & Style,8
2018-01-20,Music,32
2018-01-20,News & Politics,19
2018-01-20,People & Blogs,30
2018-01-20,Pets & Animals,1
2018-01-20,Science & Technology,3
2018-01-20,Shows,1
2018-01-20,Sports,11
2018-01-20,Travel & Events,1
2018-01-21,Autos & Vehicles,2
2018-01-21,Comedy,29
2018-01-21,Education,1
2018-01-21,Entertainment,54
2018-01-21,Film & Animation,14
2018-01-21,Gaming,10
2018-01-21,Howto & Style,5
2018-01-21,Music,22
2018-01-21,News & Politics,15
2018-01-21,People & Blogs,25
2018-01-21,Pets & Animals,2
2018-01-21,Science & Technology,2
2018-01-21,Sports,19
2018-01-22,Autos & Vehicles,1
2018-01-22,Comedy,20
2018-01-22,Education,4
2018-01-22,Entertainment,47
2018-01-22,Film & Animation,9
2018-01-22,Gaming,9
2018-01-22,Howto & Style,13
2018-01-22,Music,19
2018-01-22,News & Politics,18
2018-01-22,People & Blogs,24
2018-01-22,Pets & Animals,1
